,Business Acumen,Interpersonal Sensitivity,Problem Solving and Decision Making,Comm Skills,Corporate Steward,Relevant Professional Understanding,Proficiency in the use of System and Tools,Data Management,People Devt,Strategic Management,Employee ID
65,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 154
66,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 441
67,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 359
68,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 357
69,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 356
70,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 355
35,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 289
71,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 289
72,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 286
73,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 285
74,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 352
91,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 352
75,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 280
76,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 279
77,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 278
78,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 276
79,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 275
80,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 271
81,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 267
82,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 260
83,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 259
84,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 258
85,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,Employee 253
86,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 251
87,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 250
88,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 248
89,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 247
90,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 127
