,Business Acumen,Interpersonal Sensitivity,Problem Solving and Decision Making,Comm Skills,Corporate Steward,Relevant Professional Understanding,Proficiency in the use of System and Tools,Data Management,People Devt,Strategic Management,Employee ID
223,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 81
224,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 76
225,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 62
226,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 40
227,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 22
228,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,Employee 9
229,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 2
230,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 182
231,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 409
232,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 405
233,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 404
234,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 345
235,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 377
236,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 369
237,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 105
238,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 101
239,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 66
240,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 19
241,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 336
242,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 11
243,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 335
244,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 329
245,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 206
246,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 320
247,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 312
248,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 288
249,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,Employee 274
250,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 273
251,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 439
252,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 255
253,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 29
254,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 330
255,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 471
256,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 26
257,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 20
258,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 468
259,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 470
260,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 15
261,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 14
262,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 228
263,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 13
264,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 209
266,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 203
267,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 173
268,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 152
269,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 4
270,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 134
271,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 140
272,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 472
273,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 424
276,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 426
277,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 166
278,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 170
291,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 170
279,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 180
280,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 187
281,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 171
282,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 231
283,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 237
284,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 226
285,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 240
286,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 241
287,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 277
288,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 389
289,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 319
290,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 297
278,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 170
291,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 170
292,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXCEEDING,Employee 126
293,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 235
294,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 229
295,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 222
296,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 221
297,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 217
298,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,Employee 213
299,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 198
300,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,Employee 192
301,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,Employee 185
302,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 176
303,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 122
304,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 45
305,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 119
306,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 141
307,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 398
308,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 337
309,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 161
310,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 303
311,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 214
312,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 284
313,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 232
314,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 298
315,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 103
316,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 350
317,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 407
318,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 406
319,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 347
320,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 121
321,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 327
322,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 316
323,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 114
324,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 287
325,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 265
326,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 263
327,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,Employee 113
328,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 200
329,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 151
330,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 400
331,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 360
332,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 74
333,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 246
334,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 148
335,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 382
