Employee ID,Business Acumen,Interpersonal Sensitivity,Professional Ethics,Problem Solving and Decision Making,Communication Skills,Corporate Steward,Relevant Professional Understanding,Computer Proficiency,Proficiency in the use of System and Tools,Data Management,People Development,Strategic Management
Employee 290,2,2,2,2,2,2,2,4,2,2,2,2
Employee 361,1,2,2,1,2,1,1,2,2,1,2,2
Employee 258,2,1,2,2,2,1,1,3,2,2,2,2
Employee 111,2,2,2,3,3,2,2,2,2,2,3,3
Employee 45,1,1,2,1,2,2,2,4,4,3,3,3
Employee 74,2,2,4,2,2,2,1,2,1,1,2,2
Employee 348,2,1,2,1,1,2,1,1,1,1,2,2
Employee 286,1,2,2,2,2,3,2,2,2,2,3,3
Employee 6,3,4,4,4,3,3,3,3,3,4,3,4
Employee 490,3,4,4,3,2,3,2,3,3,3,3,3
Employee 389,2,3,2,2,2,2,2,2,2,2,3,2
Employee 473,3,4,4,3,3,3,3,2,2,3,3,4
Employee 168,2,2,4,2,2,2,2,1,1,1,2,2
Employee 236,3,3,4,3,3,3,2,3,3,3,2,3
Employee 106,3,4,4,3,2,3,3,3,2,3,2,3
Employee 273,2,2,2,3,2,2,2,3,3,2,2,2
Employee 678,2,4,2,2,2,3,2,2,2,4,3,4
Employee 679,2,4,2,2,3,3,3,2,3,4,3,4
Employee 121,2,2,2,3,2,2,2,3,3,3,2,2
Employee 204,2,2,2,1,1,1,2,2,2,1,2,2
Employee 116,1,2,2,3,3,3,2,1,1,1,2,2
Employee 391,2,2,2,2,3,2,2,2,2,2,2,2
Employee 468,3,2,4,2,2,3,2,2,2,2,2,2
Employee 94,1,2,4,2,2,2,2,3,3,1,3,2
Employee 399,3,3,4,3,2,4,3,4,4,4,4,4
Employee 220,3,4,4,4,3,3,4,4,4,4,4,4
Employee 529,2,3,4,3,3,2,2,2,3,2,2,2
Employee 25,1,1,2,1,1,1,1,1,1,1,2,2
Employee 70,3,3,4,3,3,3,3,2,3,4,2,3
Employee 208,2,2,4,2,2,2,2,2,1,2,2,2
Employee 120,2,3,4,3,3,3,3,3,4,3,3,2
Employee 77,2,3,4,3,3,2,4,2,3,3,2,3
Employee 56,2,3,4,3,2,3,2,3,3,2,3,3
Employee 37,2,2,2,2,2,2,2,3,2,2,2,2
Employee 276,2,2,2,2,1,1,1,2,2,1,2,2
Employee 334,1,2,4,1,2,1,1,2,1,1,2,2
Employee 437,2,2,2,2,3,2,2,2,2,1,2,2
Employee 465,1,2,2,2,2,1,1,1,1,1,2,2
Employee 442,1,1,2,2,1,1,1,2,1,2,2,2
Employee 65,3,3,4,3,4,3,3,3,2,1,3,3
Employee 266,3,2,4,2,2,3,2,3,3,3,2,2
Employee 24,3,4,2,3,2,2,2,1,3,3,3,3
Employee 444,2,2,2,2,2,2,2,2,2,2,3,2
Employee 299,2,4,4,4,3,4,3,3,4,4,3,3
Employee 350,2,3,2,2,2,2,2,2,2,2,3,2
Employee 288,1,2,2,2,1,1,1,3,1,1,2,2
Employee 330,2,2,2,2,2,2,2,2,2,2,2,2
Employee 287,3,3,4,3,2,3,2,3,3,3,3,3
Employee 134,2,3,2,2,1,2,2,1,1,1,2,2
Employee 244,1,1,2,2,1,3,2,2,2,1,2,2
Employee 53,3,3,4,3,3,3,3,4,4,3,4,4
Employee 387,3,3,4,3,3,3,3,2,2,3,2,3
Employee 230,3,3,4,3,3,3,3,3,3,3,4,4
Employee 145,3,3,4,3,4,4,2,2,3,2,2,2
Employee 73,2,2,2,1,3,2,2,3,2,2,2,2
Employee 375,1,1,2,1,2,1,1,1,1,1,2,2
Employee 374,2,2,2,2,2,3,1,3,3,3,2,2
Employee 61,3,2,4,2,2,2,2,3,3,2,2,2
Employee 274,2,2,2,2,2,2,2,2,2,2,2,2
Employee 32,2,2,2,1,1,1,2,2,1,1,2,2
Employee 153,3,3,4,3,3,3,3,3,3,3,4,4
Employee 110,1,1,2,2,1,1,1,1,1,1,2,2
Employee 30,1,1,2,1,2,2,1,2,1,1,2,2
Employee 66,3,3,4,3,3,3,3,3,3,2,3,3
Employee 439,4,3,4,2,4,4,3,3,4,3,3,3
Employee 633,1,2,2,2,2,1,2,1,1,2,2,2
Employee 324,2,2,2,2,2,1,1,3,3,1,2,2
Employee 132,2,2,2,2,2,1,1,1,1,1,2,2
Employee 100,2,4,4,3,3,4,3,3,3,3,3,3
Employee 227,1,1,2,1,1,1,1,1,1,1,2,2
Employee 231,2,2,2,2,3,2,2,2,2,1,2,2
Employee 22,4,3,4,3,3,3,4,4,4,4,4,4
Employee 379,3,3,4,3,3,3,2,3,3,3,2,2
Employee 307,2,2,2,2,3,4,2,2,3,3,2,2
Employee 59,1,2,4,2,2,2,2,2,2,2,3,2
Employee 89,1,1,2,1,2,1,2,1,1,1,2,2
Employee 193,3,#VALUE!,4,3,3,3,2,4,4,4,3,4
Employee 304,2,2,2,1,2,1,1,1,1,1,2,2
Employee 200,2,3,4,1,2,1,2,1,1,1,2,2
Employee 384,2,3,4,3,3,3,3,3,4,3,3,3
Employee 297,2,2,2,2,2,2,2,2,2,2,2,2
Employee 175,1,2,2,2,3,1,2,2,2,1,2,2
Employee 82,2,2,2,2,3,2,3,2,3,2,2,2
Employee 422,1,2,2,1,2,1,1,1,2,3,2,2
Employee 104,2,3,2,3,3,3,3,3,3,3,3,2
Employee 247,2,2,2,2,2,2,2,2,2,2,2,2
Employee 118,2,3,4,2,2,2,2,3,3,3,2,2
Employee 309,2,3,2,2,2,2,1,2,1,1,2,2
Employee 353,2,2,2,2,2,2,2,2,2,2,2,2
Employee 51,4,3,4,3,3,3,4,4,3,4,4,3
Employee 216,1,1,2,1,1,1,2,1,1,1,2,2
Employee 368,2,3,4,2,3,3,2,3,3,2,2,2
Employee 405,1,1,2,1,1,1,1,2,1,1,2,2
Employee 447,1,1,2,1,2,1,1,1,1,1,2,2
Employee 272,3,4,4,4,3,3,4,3,1,2,3,4
Employee 28,3,3,2,3,3,3,2,2,2,4,2,2
Employee 613,2,2,2,2,2,2,2,2,2,2,2,2
Employee 383,1,2,2,2,2,2,1,1,3,3,2,2
Employee 599,2,2,2,2,2,1,2,1,2,2,2,2
Employee 680,2,3,2,1,1,2,2,1,1,1,2,2
Employee 407,1,1,2,1,1,1,1,1,1,1,2,2
Employee 88,2,2,2,2,2,2,2,2,2,2,2,2
Employee 367,1,4,2,2,3,3,1,2,2,4,2,3
Employee 406,2,3,4,3,3,2,3,2,2,3,2,2
Employee 302,2,3,4,3,4,3,4,4,4,4,3,3
Employee 108,4,3,4,3,3,3,2,3,3,2,3,3
Employee 35,3,2,2,3,2,3,3,2,2,1,3,2
Employee 382,3,2,4,4,4,4,4,4,4,4,4,4
Employee 214,3,3,4,3,3,3,3,3,3,3,3,3
Employee 181,2,2,2,2,2,2,2,2,2,2,2,2
Employee 151,2,2,2,2,2,2,2,2,2,1,2,2
Employee 57,1,2,4,2,2,2,2,2,2,2,3,2
Employee 257,1,2,2,2,2,1,2,2,2,1,2,2
Employee 335,2,3,4,3,2,2,2,3,2,3,2,2
Employee 312,2,2,2,3,2,3,2,4,4,2,2,2
Employee 435,3,3,4,3,3,3,3,3,4,4,3,4
Employee 167,2,2,2,2,2,2,2,2,2,2,2,2
Employee 467,1,2,2,1,2,1,2,1,1,2,2,2
Employee 219,2,3,2,3,2,3,1,1,1,1,2,2
Employee 9,1,1,2,1,1,1,1,3,1,1,2,2
Employee 457,2,2,4,2,2,3,2,3,2,2,2,2
Employee 4,3,2,2,2,2,2,2,2,2,2,2,2
Employee 10,2,3,4,2,2,2,1,1,1,1,2,2
Employee 461,1,3,2,2,1,2,2,2,3,1,2,3
Employee 90,2,1,2,1,1,1,1,1,1,1,2,2
Employee 450,2,4,4,4,4,4,3,2,4,4,4,4
Employee 14,3,2,2,2,3,2,2,3,3,1,3,2
Employee 319,2,3,2,2,2,2,2,2,2,3,2,3
Employee 81,2,2,2,1,1,1,1,1,1,1,3,2
Employee 237,2,2,2,2,#VALUE!,2,1,1,2,1,2,2
Employee 240,3,3,4,3,2,3,2,3,3,3,4,4
Employee 96,2,2,4,3,3,3,3,2,3,3,2,3
Employee 255,2,2,2,2,2,1,1,2,2,1,2,2
Employee 445,2,2,2,1,1,1,1,2,2,1,2,2
Employee 226,2,3,4,4,3,2,2,1,3,1,3,3
Employee 71,2,4,2,2,2,2,2,2,3,2,3,3
Employee 76,2,2,2,2,2,1,2,3,2,2,2,2
Employee 436,2,2,4,3,3,3,2,2,2,2,3,2
Employee 390,2,2,2,2,2,2,2,2,2,2,2,2
Employee 264,1,2,4,2,1,1,1,3,1,1,2,2
Employee 251,2,3,4,3,4,3,2,3,2,3,2,3
Employee 328,2,2,2,2,3,2,1,1,1,1,3,2
Employee 259,2,3,2,4,2,2,2,3,3,2,2,2
Employee 470,2,4,4,3,3,1,2,2,2,1,3,2
Employee 19,4,3,4,2,3,3,3,2,3,2,2,2
Employee 570,2,3,2,2,2,2,2,2,3,3,2,2
Employee 67,2,3,4,2,2,2,2,2,2,2,2,2
Employee 63,2,3,2,3,2,3,2,2,3,3,3,3
Employee 270,2,2,4,2,2,2,2,2,1,1,2,2
Employee 320,1,1,2,2,1,2,2,3,2,1,2,2
Employee 31,2,3,4,2,2,2,3,2,2,3,2,3
Employee 647,3,2,2,3,2,2,3,3,2,3,3,2
Employee 189,3,2,2,2,2,3,3,2,2,3,2,2
Employee 331,2,2,2,2,2,2,2,1,1,1,2,2
Employee 239,2,2,2,2,2,2,2,2,2,2,2,2
Employee 154,3,3,4,4,3,2,3,4,4,3,3,2
Employee 187,3,3,2,2,1,1,2,1,2,2,2,2
Employee 425,1,2,2,2,2,2,2,2,2,2,3,3
Employee 327,2,2,4,3,2,3,2,2,2,2,3,2
Employee 179,4,3,4,4,4,4,4,4,4,3,4,4
Employee 163,2,3,4,3,2,2,2,3,3,3,3,2
Employee 446,4,4,4,4,4,4,4,4,4,4,4,4
Employee 336,1,2,2,2,2,1,1,1,1,1,2,2
Employee 79,2,1,2,1,3,1,2,2,1,1,2,2
Employee 256,1,1,2,1,1,1,1,2,1,1,2,2
Employee 631,2,2,2,3,2,2,2,2,2,2,2,2
Employee 211,2,1,4,1,2,3,4,3,2,1,2,4
Employee 343,3,3,4,3,3,3,3,2,3,3,4,3
Employee 393,2,2,2,1,2,1,1,2,1,2,2,2
Employee 322,4,4,4,4,4,4,3,3,3,4,4,3
Employee 222,3,4,4,3,3,4,4,3,3,4,3,3
Employee 352,3,3,2,3,3,3,2,3,2,2,3,2
Employee 440,2,3,4,1,2,2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Employee 310,2,2,4,2,3,2,2,3,3,3,3,3
Employee 92,1,1,2,3,3,1,2,1,1,1,2,2
Employee 225,2,2,4,2,3,3,2,3,2,2,2,2
Employee 114,2,1,2,2,2,2,2,2,1,2,2,2
Employee 263,2,2,2,2,2,2,1,2,1,1,2,2
Employee 421,2,2,2,3,2,2,2,2,2,2,2,2
Employee 681,1,1,2,2,1,1,1,2,1,1,2,2
Employee 296,2,3,2,1,4,4,4,2,3,3,4,4
Employee 370,2,2,2,2,2,2,1,1,1,1,2,2
#DIV/0!,1,1,2,1,1,1,1,1,1,2,2,2
Employee 85,2,2,4,3,2,1,2,3,3,1,2,2
Employee 7,2,2,2,3,2,2,2,2,2,2,3,2
Employee 416,2,2,2,2,2,2,2,2,2,2,2,2
Employee 158,3,4,4,4,3,4,4,2,3,3,4,4
Employee 201,2,2,2,3,2,2,2,2,2,2,2,2
Employee 365,3,2,4,2,2,2,2,2,2,1,4,4
Employee 198,2,3,4,2,2,2,2,2,2,2,2,2
Employee 223,4,4,4,4,3,4,4,4,4,3,4,3
Employee 49,4,4,4,4,4,4,4,2,4,4,4,4
Employee 428,1,1,2,1,1,1,1,1,1,1,2,2
Employee 430,3,1,2,3,3,4,2,2,2,3,3,3
Employee 341,1,2,2,1,1,1,1,2,1,1,2,2
Employee 253,1,2,2,2,2,1,1,4,3,1,2,2
Employee 413,1,2,2,1,2,1,2,1,1,1,3,2
Employee 205,2,2,2,2,2,1,1,2,2,2,2,2
Employee 196,3,3,4,4,3,3,3,2,3,3,4,4
Employee 262,2,3,2,3,3,2,2,2,2,2,3,3
Employee 386,2,2,4,2,4,3,3,4,4,2,3,3
Employee 469,2,2,2,2,2,1,1,2,1,1,2,4
Employee 164,1,3,2,2,1,2,2,2,2,1,2,2
Employee 295,2,2,2,2,2,2,1,2,2,2,2,2
Employee 40,2,2,2,2,2,2,2,3,2,2,3,2
Employee 176,1,2,2,3,2,2,3,3,1,2,2,2
